participant_name,source_type,age,gender,student_status,region,platform_sessions_per_day,messages_sent_per_day,in_person_conversations_per_week,shared_meals_or_social_events_per_week,group_activities_per_month,trusted_contacts_count,sleep_hours,self_reported_stress_0_100,lq1,lq2,lq3,lq4,lq5,lq6,lq7,sci1,sci2,sci3,sci4,sci5,sci6,delay_immediate_choice_1,delay_immediate_choice_2,delay_immediate_choice_3,delay_immediate_choice_4,delay_immediate_choice_5,delay_immediate_choice_6,spend1,spend2,spend3,spend4,spend5,risk_choice_1,risk_choice_2,risk_choice_3,risk_choice_4,risk_choice_5,conflict_defense_1,conflict_defense_2,conflict_defense_3,conflict_defense_4,conflict_defense_5,loneliness_score,social_connection_score,immediate_reward_bias,impulsive_spending_score,high_risk_choice_score,conflict_defense_score,risk_decision_index,loneliness_group,top_quartile_risk,decision_type,created_at,data_note
Kai Singh,synthetic_pilot,21,Female,Gap year,East Asia,7,22,15,4,4,3,8.1,5.1,2,1,3,2,3,1,3,5,4,4,3,4,5,0,0,1,0,0,0,2,3,4,2,3,0,1,0,0,0,1,1,2,1,2,28.6,79.2,16.7,45.0,20.0,10.0,23.6,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Isaac Evans,synthetic_pilot,23,Male,High school,North America,8,20,0,3,0,1,5.7,54.2,2,2,4,5,5,2,3,2,4,2,2,3,3,1,1,1,0,1,0,4,4,5,4,5,1,1,1,1,1,3,2,3,2,3,57.1,41.7,66.7,85.0,100.0,40.0,75.6,Moderate loneliness,1,Risk-seeking chooser,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Maya Ibrahim,synthetic_pilot,23,Male,High school,Other,4,33,12,1,4,3,6.2,50.9,4,2,3,3,3,4,5,5,4,4,3,3,3,1,1,0,0,1,1,5,3,3,2,3,0,1,1,0,1,4,3,2,3,3,60.7,66.7,66.7,55.0,60.0,50.0,59.6,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Naomi Santos,synthetic_pilot,18,Male,Undergraduate,Europe,9,18,3,2,1,2,6.6,24.2,2,2,3,2,2,2,3,1,1,2,3,2,2,1,0,0,0,1,0,4,1,2,3,2,1,1,1,0,0,4,5,4,5,3,32.1,20.8,33.3,35.0,60.0,80.0,47.4,Low loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ruby Young,synthetic_pilot,20,Female,Undergraduate,North America,10,24,17,2,5,2,6.0,49.9,4,3,4,3,4,3,5,5,5,5,5,5,4,0,1,0,1,0,1,3,2,4,4,3,0,0,0,1,1,4,4,3,3,3,67.9,95.8,50.0,55.0,40.0,60.0,50.2,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Owen Tan,synthetic_pilot,21,Female,Undergraduate,North America,7,34,14,2,4,4,6.6,48.1,3,2,3,4,2,2,3,5,3,4,3,5,5,0,0,1,1,0,0,3,1,3,3,3,0,0,0,1,0,2,1,4,2,2,42.9,79.2,33.3,40.0,20.0,30.0,31.2,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Isaac Young,synthetic_pilot,18,Male,Gap year,Europe,8,32,7,2,0,1,7.1,93.5,4,4,3,4,5,4,4,3,3,4,3,3,3,1,1,1,0,1,1,5,4,5,5,5,1,0,0,0,0,4,4,3,5,3,75.0,54.2,83.3,95.0,20.0,70.0,68.4,High loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Mia Shah,synthetic_pilot,19,Male,Undergraduate,North America,8,20,6,6,2,4,5.1,46.3,4,5,5,4,3,2,5,4,4,3,3,4,5,0,0,0,1,0,0,4,3,3,3,2,1,1,0,0,0,3,4,3,3,3,75.0,70.8,16.7,50.0,40.0,55.0,36.6,High loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Felix Shah,synthetic_pilot,24,Female,High school,North America,0,34,11,5,3,6,8.7,30.0,2,1,2,2,1,1,1,5,5,5,4,4,5,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,2,2,3,3,2,10.7,91.7,0.0,0.0,20.0,35.0,10.2,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Naomi Wilson,synthetic_pilot,18,Male,High school,Europe,7,11,7,4,0,2,7.6,45.6,3,4,4,4,3,4,2,3,2,3,4,5,5,1,1,0,0,0,0,2,4,3,4,3,1,1,1,0,0,2,2,4,2,3,60.7,66.7,33.3,55.0,60.0,40.0,46.4,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Leo Kim,synthetic_pilot,21,Male,Undergraduate,Europe,9,23,0,0,3,0,5.2,38.1,4,4,5,5,5,4,4,2,2,3,2,1,3,1,0,1,1,1,0,5,4,5,4,4,0,0,1,0,1,5,4,4,4,4,85.7,29.2,66.7,85.0,40.0,80.0,66.6,High loneliness,1,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Kai Carter,synthetic_pilot,17,Male,High school,North America,14,18,1,0,2,2,6.5,72.9,4,5,3,4,5,4,4,3,1,2,1,2,2,1,0,0,1,1,1,5,5,5,5,5,0,0,0,1,1,5,5,5,5,5,78.6,20.8,66.7,100.0,40.0,100.0,73.3,High loneliness,1,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Aria Wilson,synthetic_pilot,17,Male,High school,East Asia,8,18,8,5,1,1,6.3,23.6,2,3,5,3,3,4,2,3,4,4,4,3,4,1,0,1,0,0,0,3,2,2,2,2,1,0,0,0,0,1,1,3,2,2,53.6,66.7,33.3,30.0,20.0,20.0,27.2,Moderate loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Caleb Ibrahim,synthetic_pilot,21,Nonbinary/Other,Undergraduate,North America,8,18,10,8,3,3,8.5,10.6,2,1,2,1,2,1,1,4,4,5,4,5,4,0,0,1,0,0,0,2,2,3,1,2,1,0,0,1,0,1,3,2,2,1,10.7,83.3,16.7,25.0,40.0,20.0,25.1,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ella Khan,synthetic_pilot,18,Male,High school,North America,1,4,6,4,4,2,6.1,52.8,3,4,4,3,4,3,4,5,3,3,3,3,4,1,1,0,1,0,0,4,4,4,5,3,1,0,1,1,1,4,5,4,4,3,64.3,62.5,50.0,75.0,80.0,75.0,67.5,Moderate loneliness,1,Risk-seeking chooser,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Leah Martinez,synthetic_pilot,20,Female,Undergraduate,North America,11,34,13,5,3,3,5.4,45.3,2,4,5,3,2,5,5,3,5,5,5,4,4,1,1,1,1,0,1,5,5,5,5,5,0,1,0,0,0,4,5,4,4,4,67.9,83.3,83.3,100.0,20.0,80.0,71.2,Moderate loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Maya Brooks,synthetic_pilot,18,Male,Undergraduate,East Asia,4,21,12,6,5,2,6.3,60.2,2,2,3,2,3,3,2,3,5,3,4,4,3,0,0,1,0,1,0,3,3,3,4,2,0,1,0,0,1,3,4,3,4,2,35.7,66.7,33.3,50.0,40.0,55.0,42.4,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ella Rivera,synthetic_pilot,18,Female,Undergraduate,North America,9,3,0,0,0,0,4.2,79.0,4,5,5,5,5,5,5,2,2,2,1,1,1,1,1,1,1,1,0,3,4,3,5,2,1,1,1,0,1,5,4,4,4,5,96.4,12.5,83.3,60.0,80.0,85.0,76.9,High loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Jasper Liu,synthetic_pilot,18,Male,Undergraduate,Europe,2,37,20,7,4,5,7.0,40.5,2,1,1,2,2,3,1,5,5,5,5,5,5,0,1,0,0,0,0,3,2,2,4,2,0,0,0,0,0,1,1,1,1,1,17.9,100.0,16.7,40.0,0.0,0.0,15.8,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Clara Garcia,synthetic_pilot,21,Female,Undergraduate,North America,14,27,1,0,1,2,5.5,82.6,4,4,5,5,4,5,5,1,2,3,2,1,1,1,1,1,1,1,0,5,5,5,3,4,1,1,0,1,0,4,4,4,4,4,89.3,16.7,83.3,85.0,60.0,75.0,76.7,High loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Grace Collins,synthetic_pilot,17,Male,High school,North America,6,6,0,2,0,0,6.4,50.3,3,3,4,3,4,4,3,3,2,2,3,3,3,0,1,1,1,0,0,3,4,3,4,3,1,0,0,0,0,5,5,4,4,4,60.7,41.7,50.0,60.0,20.0,85.0,50.2,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Isaac Martinez,synthetic_pilot,23,Male,Gap year,North America,13,15,6,3,2,4,5.9,72.3,5,3,4,4,5,5,4,3,3,3,4,3,4,0,1,1,0,0,0,5,5,5,5,4,1,1,1,1,0,2,3,3,3,4,82.1,58.3,33.3,95.0,80.0,50.0,62.9,High loneliness,1,Risk-seeking chooser,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Isaac Hughes,synthetic_pilot,19,Female,High school,North America,15,20,0,0,1,0,5.9,66.7,4,4,3,5,4,5,4,1,2,1,1,2,1,1,0,1,1,1,1,4,3,4,5,2,1,0,1,1,1,3,4,4,3,3,78.6,8.3,83.3,65.0,80.0,60.0,74.4,High loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Aria Liu,synthetic_pilot,18,Female,High school,Europe,10,26,10,4,2,2,6.1,46.5,4,4,2,4,4,2,4,3,5,3,4,3,3,0,1,0,0,0,0,3,3,4,2,3,1,1,1,0,0,4,5,4,5,4,60.7,62.5,16.7,50.0,60.0,85.0,46.1,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Jasper Collins,synthetic_pilot,17,Male,High school,East Asia,10,10,10,3,0,1,7.0,66.1,3,3,4,5,3,4,4,4,2,2,2,1,3,0,1,0,0,1,1,5,5,5,5,5,0,0,1,0,0,4,3,3,4,5,67.9,33.3,50.0,100.0,20.0,70.0,58.0,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ryan Mehta,synthetic_pilot,16,Male,Early career,North America,6,26,13,4,5,5,7.2,13.9,3,2,3,2,3,3,2,5,5,3,4,5,4,1,0,0,1,1,0,2,1,2,3,3,0,0,0,1,0,4,3,4,3,4,39.3,83.3,50.0,30.0,20.0,65.0,39.8,Low loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Luna Santos,synthetic_pilot,16,Male,High school,East Asia,11,49,14,4,3,6,6.6,31.1,3,1,2,2,1,3,1,3,5,4,5,5,4,0,0,0,0,0,0,2,3,2,1,2,0,0,0,0,0,3,2,2,1,1,21.4,83.3,0.0,25.0,0.0,20.0,9.2,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Owen Young,synthetic_pilot,17,Male,Undergraduate,Europe,6,27,17,4,1,3,6.7,36.4,2,3,4,2,2,2,2,4,4,3,3,4,4,0,0,0,0,0,0,4,2,2,4,4,1,0,0,0,0,2,1,1,1,1,35.7,66.7,0.0,55.0,20.0,5.0,19.5,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ethan Rossi,synthetic_pilot,20,Male,High school,Europe,11,34,7,5,2,4,7.3,66.6,1,4,2,2,2,4,2,3,2,4,3,4,4,0,0,0,0,0,0,3,5,4,4,5,1,1,0,0,0,4,3,3,4,2,35.7,58.3,0.0,80.0,40.0,55.0,38.2,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ethan Collins,synthetic_pilot,16,Male,Undergraduate,East Asia,7,27,15,5,6,3,6.4,62.5,1,3,3,3,3,2,2,5,4,4,3,3,5,1,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,2,3,2,1,2,35.7,75.0,16.7,50.0,0.0,25.0,22.1,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Felix Wang,synthetic_pilot,19,Male,High school,East Asia,13,16,9,5,1,1,4.3,64.8,4,5,4,5,5,3,5,4,3,3,4,4,4,1,0,0,0,0,1,4,5,4,4,4,1,0,1,1,0,4,3,3,4,3,85.7,66.7,33.3,80.0,60.0,60.0,55.7,High loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Maya Reed,synthetic_pilot,23,Female,Early career,North America,3,24,12,7,2,5,6.6,13.5,3,3,2,2,3,5,3,5,5,5,5,4,4,1,0,1,0,0,0,1,3,3,2,3,1,0,0,0,1,4,2,4,3,3,50.0,91.7,33.3,35.0,40.0,55.0,38.7,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Nina Park,synthetic_pilot,21,Male,Undergraduate,North America,12,18,11,3,1,5,5.4,37.9,1,3,2,2,2,1,2,5,5,5,4,5,5,0,1,1,0,0,0,3,4,5,5,1,0,0,0,0,0,2,1,1,1,2,21.4,95.8,33.3,65.0,0.0,10.0,29.4,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Naomi Khan,synthetic_pilot,17,Male,High school,Other,9,27,17,6,3,5,6.5,50.3,3,2,3,4,4,5,2,4,5,5,3,4,5,0,0,1,0,0,1,3,3,4,3,2,0,0,0,0,0,3,2,3,3,3,57.1,83.3,33.3,50.0,0.0,45.0,30.9,Moderate loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Jasper Hassan,synthetic_pilot,20,Female,High school,Europe,8,35,16,8,3,5,8.0,38.7,2,2,2,4,2,2,2,3,5,5,5,4,4,0,0,1,0,1,1,4,3,2,5,5,0,0,1,0,1,3,2,3,3,1,32.1,83.3,50.0,70.0,40.0,35.0,50.2,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Lucas Lin,synthetic_pilot,21,Male,High school,Europe,8,6,11,1,0,2,4.9,75.9,5,5,5,5,5,5,5,2,2,3,3,1,1,1,1,1,0,1,1,5,5,5,5,5,1,0,1,0,0,5,5,5,5,3,100.0,25.0,83.3,100.0,40.0,90.0,77.7,High loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Jasper Murphy,synthetic_pilot,19,Male,Early career,North America,7,29,15,4,2,3,7.6,30.0,1,2,3,2,3,3,1,4,3,5,4,4,4,1,0,0,0,0,0,2,2,1,3,2,0,1,0,0,1,1,2,1,2,1,28.6,75.0,16.7,25.0,40.0,10.0,23.6,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Sofia Walker,synthetic_pilot,19,Female,Undergraduate,North America,3,27,8,7,5,4,7.4,30.9,3,3,2,2,4,3,2,4,4,5,3,4,5,1,1,0,0,0,0,4,5,4,4,4,0,0,0,1,1,1,2,2,1,2,42.9,79.2,33.3,80.0,40.0,15.0,43.9,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Theo Foster,synthetic_pilot,20,Male,Undergraduate,East Asia,17,5,7,0,0,0,4.6,85.5,5,5,5,5,5,5,5,2,1,1,2,2,2,0,1,0,1,1,0,5,5,5,5,5,0,1,1,0,1,5,5,5,5,5,100.0,16.7,50.0,100.0,60.0,100.0,72.5,High loneliness,1,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Leah Morgan,synthetic_pilot,18,Male,High school,Europe,5,20,0,2,2,0,5.6,62.2,2,4,3,3,3,4,3,2,3,3,3,2,2,0,1,0,1,0,0,5,4,4,5,4,0,0,1,1,1,3,4,3,2,4,53.6,37.5,33.3,85.0,60.0,55.0,56.2,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Noah Torres,synthetic_pilot,16,Male,Undergraduate,East Asia,8,12,5,2,3,2,5.5,55.9,4,3,4,4,4,4,3,2,3,3,2,4,1,0,1,0,0,0,1,5,3,4,3,4,0,0,1,0,0,3,2,2,2,3,67.9,37.5,33.3,70.0,20.0,35.0,39.4,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Nina Garcia,synthetic_pilot,18,Female,Early career,North America,18,4,0,0,0,0,5.0,58.2,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,0,1,1,1,0,5,5,5,5,5,96.4,0.0,100.0,95.0,60.0,100.0,88.8,High loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Hannah Kim,synthetic_pilot,20,Male,Undergraduate,North America,6,13,9,6,4,2,6.6,39.6,2,3,4,3,1,2,4,4,4,2,3,3,4,0,0,0,1,0,1,2,2,3,3,3,1,1,0,1,1,3,4,3,4,5,42.9,58.3,33.3,40.0,80.0,70.0,52.2,Low loneliness,0,Risk-seeking chooser,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Emma Khan,synthetic_pilot,16,Male,Gap year,Other,12,18,8,4,4,2,6.9,56.8,2,2,3,4,4,4,4,2,3,4,2,2,2,0,1,0,1,1,1,2,2,1,2,3,1,1,1,1,1,4,3,3,4,5,57.1,37.5,66.7,25.0,100.0,70.0,65.1,Moderate loneliness,1,Risk-seeking chooser,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Mia Rossi,synthetic_pilot,18,Male,High school,North America,10,21,0,3,4,1,6.1,61.5,3,3,1,2,2,3,2,3,3,3,4,2,3,1,0,0,0,0,0,4,5,5,5,4,1,1,0,0,0,4,5,2,3,3,32.1,50.0,16.7,90.0,40.0,60.0,47.3,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Aria Bennett,synthetic_pilot,18,Male,Undergraduate,East Asia,11,1,9,1,0,1,5.0,92.2,5,5,4,5,4,5,4,2,1,1,2,1,2,0,1,1,0,0,1,3,5,3,4,3,0,1,1,0,0,5,4,4,4,5,89.3,12.5,50.0,65.0,40.0,85.0,56.5,High loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Owen Mehta,synthetic_pilot,22,Male,Early career,North America,10,39,17,8,6,3,5.8,36.2,2,3,2,2,2,3,1,5,5,5,5,5,5,0,0,0,0,0,0,3,3,4,2,1,0,0,0,0,0,4,2,2,3,2,28.6,100.0,0.0,40.0,0.0,40.0,16.0,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Vivian Shah,synthetic_pilot,18,Female,High school,North America,13,0,1,0,2,0,5.1,45.8,5,4,5,4,4,5,4,3,1,1,2,4,2,1,1,1,1,0,1,1,3,3,2,4,0,0,1,1,0,4,3,4,4,4,85.7,29.2,83.3,40.0,40.0,70.0,59.7,High loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Felix Rossi,synthetic_pilot,18,Female,High school,North America,7,26,3,3,1,1,5.5,60.9,3,3,3,3,3,5,4,3,4,4,4,5,5,1,1,0,0,0,1,5,4,4,4,5,1,0,1,0,0,4,5,5,3,2,60.7,79.2,50.0,85.0,40.0,70.0,59.2,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Julian Taylor,synthetic_pilot,18,Male,High school,North America,7,26,11,4,3,3,6.0,58.0,3,4,3,2,2,2,3,2,4,2,3,3,2,0,0,0,1,1,0,3,4,4,2,3,0,1,1,1,0,2,4,5,3,3,42.9,41.7,33.3,55.0,60.0,60.0,49.4,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Adrian Nguyen,synthetic_pilot,18,Female,Undergraduate,North America,9,22,17,5,4,6,6.5,19.0,1,3,1,1,1,1,1,5,5,4,4,4,5,0,1,0,0,0,0,1,3,3,3,3,1,0,0,0,0,2,3,2,3,2,7.1,87.5,16.7,40.0,20.0,35.0,26.1,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
